id,value,last_modified_user_id,last_modified_date,created_user_id,created_date,delimiter,subspecialty_id,attribute_element_id
2,'blurred vision',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
5,'difficulty with reading',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
8,'follow up visit',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
9,'glare',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
11,'gradual deterioration of vision',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
14,'pseudophakia',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
18,'mild',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,2
19,'moderate',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,2
20,'severe',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,2
22,'gradual onset',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
23,'noticed by optometrist',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
24,'noticed by parent',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
25,'sudden onset',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
26,'both eyes',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
27,'left eye',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
28,'left more than right',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
29,'right eye',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
30,'right more than left',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
31,'1 day',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
32,'1 month',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
33,'1 week',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
34,'2 weeks',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
35,'2-3 days',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
36,'6 months',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
39,'Fluorescein angiography',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
40,'OCT',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
41,'field test',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
42,'refraction',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
43,'ultrasound',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
49,'Optician: Review refraction with own optician',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
53,'booked for surgery',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
54,'copy of clinical details provided for Optician',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
55,'discharge',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
56,'discharge, to be reviewed as necessary via A&E or the GP',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
57,'glasses prescribed',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
59,'offer of surgery declined by patient',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
60,'personal information leaflet provided to patient',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
62,'satisfactory post operative progress',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
63,'wean off topical medication',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
64,'blepharitis',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
66,'blepharospasm',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
67,'conjunctivitis',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
68,'crusting of lashes',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
69,'difficult access',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
70,'discharge',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
71,'dry eyes',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
72,'ectropion',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
73,'entropion',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
74,'injected lid margins',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
75,'lower lid ectropion',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
76,'none',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
77,'poor tear film',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
78,'punctal ectropian',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
79,'squint',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,8
80,'discharged and glasses not required',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
81,'discharged with glasses',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
82,'discharged with prescription for glasses',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
83,'good outcome from the first eye surgery and is booked for second eye',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
84,'listed for left cataract surgery under LA',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
85,'listed for right cataract surgery under LA',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
86,'new glasses prescribed',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
87,'patient declined surgery',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
88,'patient managing well and not keen for surgery',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
89,'removal of suture at next visit',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9
90,'wean off the medication',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,9