id,set_id,element_type_id,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,3,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,3,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,3,37,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,3,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,8,33,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,9,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,9,36,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,9,38,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
10,9,39,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
11,9,40,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
12,9,48,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
13,9,42,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
14,9,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
15,2,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
16,2,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
17,10,36,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
18,2,37,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
19,10,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
20,2,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
21,4,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
22,4,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
23,4,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
24,11,36,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
25,11,40,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
26,11,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
27,5,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
28,5,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
29,6,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
30,6,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
31,6,37,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
32,6,46,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
33,12,33,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
34,13,36,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
35,13,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
36,7,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
37,7,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
38,7,33,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
39,7,37,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
40,14,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
41,14,36,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
42,14,47,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
43,14,40,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
44,14,48,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
45,14,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
46,14,45,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
47,14,44,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
48,15,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
49,15,33,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
50,15,34,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
51,15,37,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
52,16,38,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
53,16,49,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
54,16,48,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
55,16,53,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
56,16,54,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
57,16,55,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
58,16,56,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"