id,name,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"1.0",1,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
2,"0.9",2,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
3,"0.8",3,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
4,"0.7",4,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
5,"0.6",5,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
6,"0.5",6,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
7,"0.4",7,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
8,"0.3",8,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
9,"0.2",9,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
10,"0.1",10,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
11,"No view",11,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"